danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,track_name,artist_name,realkey,preview_url
0.475,0.176,A,-14.067,Minor,0.0373,0.906,0.0698,0.115,0.133,135.996,00fYMFBAPXKaeYH0X7cAd7,spotify:track:00fYMFBAPXKaeYH0X7cAd7,169920,4,Vanilla - Ignoffo Sess,The Smashing Pumpkins,AMinor,5e68295f5f128d6586ae8a187b052c338468fa54?cid=774b29d4f13844c495f206cafdad9c86
0.218,0.824,G,-6.173,Major,0.0331,1.83e-05,0.9,0.147,0.179,155.397,2NcwY37AUVm4rRt3Vojeer,spotify:track:2NcwY37AUVm4rRt3Vojeer,913640,4,Why Am I So Tired - Li,The Smashing Pumpkins,GMajor,5f92560ba180a1a665a907610c3b86d33d68cb65?cid=774b29d4f13844c495f206cafdad9c86
0.361,0.428,C,-9.282,Major,0.0306,0.00451,0.66,0.0879,0.125,86.884,76rfUs6iZBa3OCf8tCBn27,spotify:track:76rfUs6iZBa3OCf8tCBn27,317347,4,Plainsong - 2010 Remas,The Cure,CMajor,2e2e8915f00f422139832b6cc5063206ee78cb62?cid=774b29d4f13844c495f206cafdad9c86
0.484,0.776,A,-6.48,Major,0.0312,0.00371,0.109,0.131,0.495,171.935,1tuwC1Ob5vnYZhvg3zyzJg,spotify:track:1tuwC1Ob5vnYZhvg3zyzJg,448467,4,Pictures of You - 2010,The Cure,AMajor,3fd2102e7fb1fc4b60cb00c39dfa436cb90a4b41?cid=774b29d4f13844c495f206cafdad9c86
0.516,0.748,E,-7.184,Major,0.0281,0.292,0.763,0.11,0.719,93.927,7BffxdidCNDN2cOP1XlCyv,spotify:track:7BffxdidCNDN2cOP1XlCyv,258853,4,Closedown - 2010 Remas,The Cure,EMajor,695fbc36ebae922f20aef0a865fa5291c31e0bcc?cid=774b29d4f13844c495f206cafdad9c86
0.611,0.813,A,-7.689,Minor,0.0279,0.339,0.898,0.224,0.821,140.112,0X5C4WjQNubRysTkHOubz3,spotify:track:0X5C4WjQNubRysTkHOubz3,209573,4,Lovesong - 2010 Remast,The Cure,AMinor,f9b7d686922b260b092b2c8e5186d40e2c63fd06?cid=774b29d4f13844c495f206cafdad9c86
0.322,0.785,A,-6.346,Minor,0.0534,0.444,0.587,0.191,0.446,184.01,4muRKfZjpRvjoi4eAOAYot,spotify:track:4muRKfZjpRvjoi4eAOAYot,285067,4,Last Dance - 2010 Rema,The Cure,AMinor,9728c703b33141d7c8bb5860164c6afeb1c72ad5?cid=774b29d4f13844c495f206cafdad9c86
0.718,0.557,A,-10.679,Major,0.0328,0.185,0.707,0.055,0.586,94.095,4d4oXk7O2lEhZ83ivV93li,spotify:track:4d4oXk7O2lEhZ83ivV93li,249880,4,Lullaby - 2010 Remaste,The Cure,AMajor,5e9958a03f344620bd8a4344d8f5160adc6d09aa?cid=774b29d4f13844c495f206cafdad9c86
0.508,0.91,C,-5.743,Minor,0.0786,0.00134,0.465,0.15,0.491,100.058,23j7dlNIalftynH6fNllR9,spotify:track:23j7dlNIalftynH6fNllR9,316173,4,Fascination Street - 2,The Cure,CMinor,d23138e33e2e2cd1aabd7f8c5ea35c503c7e2152?cid=774b29d4f13844c495f206cafdad9c86
0.563,0.683,G,-7.662,Major,0.027,0.00472,0.0851,0.0839,0.108,116.964,4Qq0UKztCAIfu0Tfgmb1d2,spotify:track:4Qq0UKztCAIfu0Tfgmb1d2,368307,4,Prayers for Rain - 201,The Cure,GMajor,5212d4be6745d38e8696a884c26c2d958842d3bb?cid=774b29d4f13844c495f206cafdad9c86
0.325,0.805,A,-8.43,Minor,0.0768,0.529,0.277,0.926,0.174,199.891,3gXwy8PyIFiNOUnq5Lvkh6,spotify:track:3gXwy8PyIFiNOUnq5Lvkh6,562907,4,The Same Deep Water as,The Cure,AMinor,248cff6becf0466679ccaf390a346baf987ae760?cid=774b29d4f13844c495f206cafdad9c86
0.593,0.943,D,-5.948,Major,0.0568,0.308,0.0284,0.366,0.125,122.02,0zY8t5dC1KQXcPUKByWMJM,spotify:track:0zY8t5dC1KQXcPUKByWMJM,499973,4,Disintegration - 2010 ,The Cure,DMajor,6bb5c2b651d741b3515a02398434f6cb835aadcd?cid=774b29d4f13844c495f206cafdad9c86
0.491,0.696,A,-8.706,Minor,0.0258,0.118,0.695,0.121,0.528,156.014,2o0mBeqnGQkfhdYBl9ld3c,spotify:track:2o0mBeqnGQkfhdYBl9ld3c,427280,4,Homesick - 2010 Remast,The Cure,AMinor,42a0d0d6992f69dde8852e9b2bd3eecbc9a0851b?cid=774b29d4f13844c495f206cafdad9c86
0.665,0.689,G,-9.057,Major,0.0316,0.571,0.0909,0.0868,0.182,95.048,41rrri7GpGTmJwYqYDZEMf,spotify:track:41rrri7GpGTmJwYqYDZEMf,393093,4,Untitled - 2010 Remast,The Cure,GMajor,f6078cb5079b7daed25f85d0552b903435655b3c?cid=774b29d4f13844c495f206cafdad9c86
0.444,0.57,G,-11.623,Major,0.0288,0.101,0.858,0.104,0.296,204.468,0tQtjJp0Hmjd4q6IQdSiY5,spotify:track:0tQtjJp0Hmjd4q6IQdSiY5,181320,4,Prayers for Rain - RS ,The Cure,GMajor,597a3eb1931decd967e61a9c37e23377579efd67?cid=774b29d4f13844c495f206cafdad9c86
0.449,0.608,A,-11.355,Major,0.0263,0.45,0.931,0.107,0.82,81.81,2Ca5BoW6FGOUwVHTjzPuBL,spotify:track:2Ca5BoW6FGOUwVHTjzPuBL,209627,4,Pictures of You - RS H,The Cure,AMajor,57e5441980b80415a9d16b4423f68ad5cb89a085?cid=774b29d4f13844c495f206cafdad9c86
0.516,0.881,G#,-9.463,Major,0.0589,0.0787,0.747,0.168,0.688,89.472,5603kdZnIBnECCHhm6c5oS,spotify:track:5603kdZnIBnECCHhm6c5oS,161187,4,Fascination Street - R,The Cure,G#Major,80961221b931bb1b1698a7efaf55020ad4c5127e?cid=774b29d4f13844c495f206cafdad9c86
0.25,0.617,F#,-10.22,Major,0.0336,0.677,0.351,0.281,0.599,170.684,4jGfTZjIocJD2UX9z2hZpr,spotify:track:4jGfTZjIocJD2UX9z2hZpr,194387,4,Homesick-06/88) - Band,The Cure,F#Major,fb49c2195f11f335137562beb92ed643b6533551?cid=774b29d4f13844c495f206cafdad9c86
0.655,0.449,A,-12.043,Minor,0.0294,0.636,0.874,0.196,0.683,97.374,5ifAUIQL8VfKL0k3QKlLIG,spotify:track:5ifAUIQL8VfKL0k3QKlLIG,179133,4,Fear of Ghosts - Band ,The Cure,AMinor,4f27c463a91acb1b957a2b64b668105623035705?cid=774b29d4f13844c495f206cafdad9c86
0.564,0.621,D,-9.709,Major,0.0411,0.289,0.0302,0.185,0.534,110.138,1rcOtF4P8Xu1V34hYOzuNR,spotify:track:1rcOtF4P8Xu1V34hYOzuNR,161720,4,No Heart - Band Rehear,The Cure,DMajor,6aa763a8a870b0b7fea5500eccaa83f1c26955d3?cid=774b29d4f13844c495f206cafdad9c86
0.22,0.963,B,-6.204,Minor,0.108,0.151,0.88,0.156,0.54,166.65,0XLV0HCYnFjStvzbyX6Hmh,spotify:track:0XLV0HCYnFjStvzbyX6Hmh,194933,4,Esten - Band Demo Inst,The Cure,BMinor,4d31724620ab878dfe1b866683c56bb1dc3a69b5?cid=774b29d4f13844c495f206cafdad9c86
0.335,0.686,A,-8.092,Major,0.032,0.0363,0.755,0.117,0.395,94.761,7aLa75Cxyv08IQKusPNKvF,spotify:track:7aLa75Cxyv08IQKusPNKvF,170187,4,Closedown - Band Demo ,The Cure,AMajor,47ebaf9f505270c3febe93661fe7990a94c77d3e?cid=774b29d4f13844c495f206cafdad9c86
0.457,0.877,A,-9.082,Minor,0.0436,0.374,0.887,0.101,0.475,139.072,1iwZxYFnMu3JoY0abBcqpu,spotify:track:1iwZxYFnMu3JoY0abBcqpu,222400,4,Lovesong-09/88) - Band,The Cure,AMinor,ddcecce0c6b61b859aa3865c8f5116f6f82eabb1?cid=774b29d4f13844c495f206cafdad9c86
0.303,0.913,G,-6.511,Major,0.0527,0.00816,0.961,0.753,0.549,159.279,3Fcc4YmusoVzerIoyZDMcf,spotify:track:3Fcc4YmusoVzerIoyZDMcf,172453,4,2 Late - Alt. Version;,The Cure,GMajor,9250525a4f614b82174b2e946cd291ae758835fd?cid=774b29d4f13844c495f206cafdad9c86
0.181,0.781,A,-8.413,Minor,0.0481,0.0244,0.752,0.189,0.345,201.619,4bbg4bsncim5R21WQE0aUC,spotify:track:4bbg4bsncim5R21WQE0aUC,365787,4,The Same Deep Water as,The Cure,AMinor,740fc546988bf02bab78615e1c22b9042a06b833?cid=774b29d4f13844c495f206cafdad9c86
0.491,0.935,C,-7.519,Major,0.0399,0.0361,0.947,0.156,0.0663,123.186,4ExtdfqJYipX3NC9y2MKjz,spotify:track:4ExtdfqJYipX3NC9y2MKjz,396453,4,Disintegration - Band ,The Cure,CMajor,0acbec9b358f117fe385dbd72763558d9426adad?cid=774b29d4f13844c495f206cafdad9c86
0.736,0.517,G,-10.873,Major,0.0327,0.868,0.719,0.104,0.176,94.938,0SrrnRAjtpYF8vnOp0OXzM,spotify:track:0SrrnRAjtpYF8vnOp0OXzM,219880,4,Untitled - Alt. Versio,The Cure,GMajor,fde14030a2312d6f5bb46f0b1f6c68d830ce2a0e?cid=774b29d4f13844c495f206cafdad9c86
0.464,0.827,G,-10.932,Minor,0.0399,0.822,0.944,0.145,0.613,166.112,6IVAgE0gq2Khv7hZDKkNSw,spotify:track:6IVAgE0gq2Khv7hZDKkNSw,180613,4,Babble - Alternate Ver,The Cure,GMinor,eb8c834de41399e688b0600cb51eb21b89148af1?cid=774b29d4f13844c495f206cafdad9c86
0.3,0.522,C,-7.002,Major,0.0377,0.0016,0.172,0.268,0.188,87.021,1zjghjS3op8Dfc63mb1aZ5,spotify:track:1zjghjS3op8Dfc63mb1aZ5,286533,4,Plainsong - Studio Rou,The Cure,CMajor,071e9aee8effb19fc1092ce6177c93c7ecd55abf?cid=774b29d4f13844c495f206cafdad9c86
0.246,0.707,B,-7.825,Minor,0.0498,0.295,0.81,0.209,0.428,91.976,4r8IVcMtGInMYQUI2IkT74,spotify:track:4r8IVcMtGInMYQUI2IkT74,282493,4,Last Dance - Studio Ro,The Cure,BMinor,f736facdb27492abcfdc076c86f0fd4f85d1367d?cid=774b29d4f13844c495f206cafdad9c86
0.756,0.495,A,-11.557,Major,0.0412,0.189,0.793,0.189,0.536,94.025,2rFt6hwXe7x9Q2rPfdUbMC,spotify:track:2rFt6hwXe7x9Q2rPfdUbMC,228253,4,Lullaby - Studio Rough,The Cure,AMajor,707e127790ec4787de20e8e06abf58d8c65a45cd?cid=774b29d4f13844c495f206cafdad9c86
0.683,0.715,C,-10.015,Major,0.0416,0.292,0.00962,0.218,0.299,123.069,2CLEyUVhmc490svYKfRl9a,spotify:track:2CLEyUVhmc490svYKfRl9a,180307,4,Out of Mind - Studio R,The Cure,CMajor,81d9d029b6912c9cd43e8e0eedcd3734bef0fbd0?cid=774b29d4f13844c495f206cafdad9c86
0.424,0.917,A,-9.564,Major,0.0828,0.00244,0.116,0.218,0.536,137.951,5TgHCQQNyeSyNLAzQJ66vh,spotify:track:5TgHCQQNyeSyNLAzQJ66vh,272947,4,Delirious Night - Deli,The Cure,AMajor,8dfce7dd0a1bb9dd765629c8263005041f4f8ae6?cid=774b29d4f13844c495f206cafdad9c86
0.137,0.387,A#,-12.552,Minor,0.0382,0.781,0.0431,0.932,0.425,142.464,2EgkJFsnAa4IFIufAGQLQH,spotify:track:2EgkJFsnAa4IFIufAGQLQH,218733,3,Pirate Ships - RS Solo,Robert Smith ,A#Minor,902b6b2fd203d0857a7f318c373e7d33674d2fb8?cid=774b29d4f13844c495f206cafdad9c86
0.312,0.707,C,-6.248,Major,0.0301,0.00376,0.462,0.95,0.197,83.832,0DtRCEVER3HKZF04PPtL7j,spotify:track:0DtRCEVER3HKZF04PPtL7j,319467,4,Plainsong - Live at We,The Cure,CMajor,3c62df0dc87e0594a5d99f439da6f3cf7cacb443?cid=774b29d4f13844c495f206cafdad9c86
0.515,0.901,A,-5.558,Major,0.0384,0.12,0.0317,0.983,0.417,90.296,7i2wCdelxY5tPXg791Gju0,spotify:track:7i2wCdelxY5tPXg791Gju0,424467,4,Pictures of You - Live,The Cure,AMajor,3a0515c964798bbd476dae2e4b45b01180539467?cid=774b29d4f13844c495f206cafdad9c86
0.478,0.683,A,-7.866,Major,0.0255,0.0434,0.364,0.985,0.301,92.547,5QwIUYscFfRuuDJZCVvm0J,spotify:track:5QwIUYscFfRuuDJZCVvm0J,261533,4,Closedown - Live at We,The Cure,AMajor,40ac955fd9181fb13fd5f41fbee34dfbc72b2a9b?cid=774b29d4f13844c495f206cafdad9c86
0.604,0.818,A,-7.44,Minor,0.0324,0.0179,0.0315,0.949,0.731,143.346,4ypMeoUbFvIvBeOKzgAaBC,spotify:track:4ypMeoUbFvIvBeOKzgAaBC,204000,4,Lovesong - Live at Wem,The Cure,AMinor,19b36b946b32e849b2fad71d186b115fcdaa2e6f?cid=774b29d4f13844c495f206cafdad9c86
0.429,0.851,C,-7.172,Major,0.0443,0.0033,0.337,0.925,0.452,98.258,0rgpjDWdgmusmFcSOoiOou,spotify:track:0rgpjDWdgmusmFcSOoiOou,276960,4,Last Dance - Live at W,The Cure,CMajor,3d761c8ba4f86c4f5cdcf63ca3dbd35ba1d4b6d6?cid=774b29d4f13844c495f206cafdad9c86
